id,name,organization,latitude‎,longitude‎
31238,Никольский музей стекла и хрусталя,mincult,53.7158,46.0923
31232,Музейно-мемориальный комплекс «Победа»,mincult,46.9516,142.7568
31219,Усадьба Демьяново,mincult,56.321,36.7471
31128,Музей археологии и этнографии Алтая,mineduc,53.3449,83.7762
31077,Музей истории города Лобня,mincult,56.0242,37.4721
30992,Красноперекопский краеведческий музей,mincult,45.9597,33.7954
30943,Квартира семьи Маяковских на Большой Пресне,mincult,55.7625,37.5669
30904,Музей оружия «Дух воина»,commercial,55.7996,49.1038
30889,Дом-музей В. М. Васнецова,mincult,55.7767,37.6261
30843,Кичменгско-Городецкий районный краеведческий музей,mincult,59.9886,45.8004
30837,Музей под открытым небом казачьей культуры и быта «Братина»,mincult,57.3418,83.945
30771,Центр культурно-исторического наследия г. Усмань,othergov,52.0465,39.7374
30684,Мемориальный дом Чапаевых,mincult,56.1166,47.2572
30666,Детский музейный центр г. Великий Устюг,mincult,60.7617,46.2978
30654,Историко-мемориальный комплекс «Байкальская переправа»,mincult,51.5634,105.1364
30630,Отдел Московского государственного музея С. А. Есенина на Чернышевского,mincult,55.7823,37.6088
30615,Институт русского реалистического искусства,commercial,55.7232,37.6511
30593,Музей маршала Советского Союза Ф. И. Толбухина,commercial,57.8517,40.0487
30592,Музей Петра I,commercial,57.8499,40.0396
30579,Музей-усадьба купца Ивана Кислова,commercial,57.8499,40.0396
30578,Лебяжьевский районный историко-краеведческий музей,mincult,55.272,66.4951
30575,Центр туризма г. Чаплыгин,othergov,53.2401,39.96
30569,Музей военной формы одежды,commercial,55.7568,37.6366
30516,Манеж Конюшенного ведомства,mincult,59.9413,30.327
30352,Музейно-гостиничный комплекс «Гостиница Пожарских»,mincult,57.0407,34.9697
30340,Парк научных развлечений Newton BIO,commercial,56.8329,60.5973
30339,Интерактивный научный музей Newton Park,commercial,56.8449,60.5914
30338,Музейно-выставочный центр пос. Параньга,mincult,56.7044,49.3928
30326,Галерея искусств «Эстетика»,commercial,51.5251,46.0215
30298,Сыктывкарская городская картинная галерея «Пейзажи Севера»,mincult,61.6652,50.8184
30257,Интерьерная галерея г. Самара,commercial,53.2024,50.1202
30235,Выставочный зал Великоустюгского музея-заповедника,mincult,60.7607,46.2972
30217,Бердский историко-художественный музей. Арт-зал. Дом дружбы,mincult,54.7505,83.1175
30201,Историко-экологическая экспозиция «Музей воды»,mincult,52.6063,39.5982
30185,Информационно-культурный центр «Музей А. И. Солженицына»,mincult,43.9009,42.7238
30184,Художественные мастерские на Пречистенке,virtual,55.7406,37.5907
30174,Музейный комплекс «Таможенная застава»,mincult,47.2685,39.8968
30165,Музей истории золотодобычи Северо-Енисейского района,control,60.375,93.0298
30144,Музей Ш. Худайбердина,othergov,52.8009,56.0485
30134,Народный краеведческий музей п. Тонкино,mincult,57.3725,46.4566
30115,Музей-усадьба П. П. Семенова-Тян-Шанского,othergov,53.5018,39.5794
30114,Музей Славы г. Чаплыгин,othergov,53.2411,39.9652
30113,Дом-музей купечества,othergov,53.241,39.966
30112,Дом кукол г. Чаплыгин,othergov,53.2421,39.9672
30091,Музей истории поселка и гарнизона Видяево,mincult,69.3203,32.8077
30079,Музейно-выставочный комплекс г. Чистополь,mincult,55.3734,50.6392
30045,Историко-краеведческий музей с. Кошки,control,54.2038,50.4645
30014,Музей «Мир камня»,commercial,53.329,83.7878
30011,Этностойбище Этнографического музея под открытым небом «Торум Маа»,mincult,61.024,69.1254
29953,Историко-краеведческий музей Семилукского района,mincult,51.6874,39.0404
29934,Выставочный зал «Курские промыслы и ремёсла»,mincult,51.739,36.1916
29931,Отдел краеведческой работы (музей),mincult,52.4977,39.9567
29902,Музей новогодней и рождественской игрушки,mincult,60.753,46.3117
29896,Музей древнерусского искусства г. Великий Устюг,mincult,60.7556,46.31
29878,Центр современного искусства «Облака»,commercial,54.7119,55.9976
29841,Музейное здание выставочного проекта «Липецкие истории»,mincult,52.6016,39.594
29839,Липецкий музей народного и декоративно-прикладного искусства,mincult,52.6179,39.5824
29837,Мотомир Вячеслава Шеянова,commercial,53.3013,50.3602
29821,Выставочный зал «Шагал центр»,mincult,53.5268,49.3169
29730,Ирбитский историко-этнографический музей (второе здание),mincult,57.6838,63.0586
29667,Галерея Artstory,commercial,55.7698,37.6034
29643,Исетский народный краеведческий музей им. А. Л. Емельянова,mincult,56.4763,65.3184
29469,Дом крестьянского быта с. Манюки,mincult,52.5709,32.075
29260,Старый дом М. А. Шолохова,mincult,49.6261,41.735
29253,Музей-усадьба «Петровское»,mincult,57.0802,28.948
29249,Приходское училище (Музей-заповедник М. А. Шолохова),mincult,49.3505,41.6462
29248,Историко-литературная экспозиция «М. А. Шолохов. Время и судьба»,mincult,49.627,41.7257
29241,Конюшня музея-заповедника М. А. Шолохова,mincult,49.6317,41.7284
29218,Музей «Галерея Боевой Славы»,mincult,59.564,150.8064
29213,Музей-студия Радиотеатра,mincult,55.7434,37.6303
29212,Филиал Театрального музея им. А. А. Бахрушина «Театральный музей в Зарайске»,mincult,54.7596,38.8761
29210,Музей-квартира Г. С. Улановой,mincult,55.7471,37.6428
29209,Дом-музей Столетовых,mincult,56.1324,40.4137
29208,Дмитриевский собор,mincult,56.1291,40.4111
29206,Дом Шолоховых в ст. Каргинской (Музей-заповедник М. А. Шолохова),mincult,49.3505,41.6462
29204,Казачье подворье кон. XIX – нач. ХХ вв. (Музей-заповедник М. А. Шолохова),mincult,49.4281,41.7749
29187,Памятник-музей Знаменский собор,mincult,58.5173,31.2935
29186,Памятник-музей церковь Спаса Преображения,mincult,58.5173,31.2935
29185,Памятник-музей церковь Андрея Стратилата,mincult,58.5215,31.2755
29118,Галерея Альперт (Alpert Gallery),commercial,55.761,37.6892
29037,Музей В.Г. Распутина,mincult,52.2847,104.2831
28942,Белгородский государственный музей народной культуры на Гражданском,mincult,50.5948,36.5897
28904,Федеральный музей профессионального образования г. Подольск,mineduc,55.4348,37.5213
28888,Усадьба Храповицкого в Муромцево,mincult,55.9323,40.8989
28885,Музей Декабристов г. Чита,mincult,52.0215,113.5131
28845,Музей «Калачная»,commercial,55.1058,38.7637
28821,Выставочный зал Волгоградского музея изобразительных искусств им. И. И. Машкова,mincult,48.712,44.5305
28820,Картинная галерея «Виктор Иванов и земля Рязанская»,mincult,54.6295,39.7309
28789,Дом-музей Н. Н. Жукова,mincult,52.6285,38.5
28757,Дом-музей Т. Н. Хренникова,mincult,52.6275,38.5052
28659,Музей занимательных наук Эйнштейна,commercial,57.6228,39.882
28627,Выставочный зал модульного типа Раздорского этнографического музея-заповедника,mincult,47.5155,40.5985
28617,Виртуальный филиал Русского музея г. Мурманск,mincult,68.9683,33.0809
28444,Музей техники Вадима Задорожного,commercial,55.7901,37.3029
28366,Галерея «Арискин-студия»,commercial,57.6232,39.8959
28279,Мемориальный кабинет-музей Ювана Шесталова,mincult,61.0241,69.1256
28163,Выставочный корпус музея «Новый Иерусалим»,mincult,55.9212,36.8527
28113,Музей «Старая школа Вальдвинкель»,commercial,54.8674,21.2487
28106,Музейно-выставочный зал Музея-заповедника «Костромская слобода»,mincult,57.764,40.9398
28094,Григорьевский сельский музей,mincult,51.1037,55.2967
28087,Музей и Центр хомуса народов мира,mincult,62.0333,129.7179
28083,Мемориальный дом-музей М. К. Аммосова,mincult,62.0251,129.7381
28052,Феодосийский музей древностей,othergov,45.0314,35.383
28030,Интерактивная площадка «Лаборатория научных развлечений»,mincult,56.8517,53.2067
28024,Ивановский выставочный зал Российской государственной библиотеки,mincult,55.7509,37.6083
28010,Республиканский музейно-культурный центр г. Абакан,mincult,53.7189,91.4779
28004,Большой Петергофский дворец,mincult,59.8781,29.9021
27962,Воробьевский историко-краеведческий комплекс,mincult,50.6438,40.9217
